model,total_games,raw_win_rate,neutralized_score,residual_std,rank_raw,rank_neutralized,rank_change
gpt-4,724,0.6795580110497238,0.22997016100760223,0.36342861580998553,1,1,0
claude-v1,726,0.6253443526170799,0.18160949499584159,0.4073409885424353,2,2,0
gpt-3.5-turbo,925,0.5243243243243243,0.10038063074603926,0.4299650222136888,3,3,0
vicuna-13b,741,0.4089068825910931,-0.03269601303717858,0.4552169857594481,4,4,0
alpaca-13b,696,0.16235632183908047,-0.18685226462036447,0.38532329995301173,5,5,0
llama-13b,730,0.10547945205479452,-0.32455075553458673,0.36263927239170435,6,6,0
