model,total_games,raw_win_rate,neutralized_score,residual_std,rank_raw,rank_neutralized,rank_change
gpt-4,724,0.6187845303867403,0.20568347026428335,0.3642377426795021,1,1,0
claude-v1,726,0.5853994490358126,0.1721802557703072,0.4013165558361113,2,2,0
gpt-3.5-turbo,925,0.4864864864864865,0.10062620962853916,0.41039000376557017,3,3,0
vicuna-13b,741,0.3913630229419703,-0.02409489613170555,0.4430438457160038,4,4,0
alpaca-13b,696,0.1867816091954023,-0.15427176693869704,0.3968005258200974,5,5,0
llama-13b,730,0.08356164383561644,-0.33119106060829584,0.33731765821397,6,6,0
