model,total_games,raw_win_rate,neutralized_score,residual_std,rank_raw,rank_neutralized,rank_change
gpt-4,724,0.7182320441988951,0.24597199255218188,0.3918435252966143,1,1,0
claude-v1,726,0.6707988980716253,0.19117267222105738,0.44128145494582244,2,2,0
gpt-3.5-turbo,925,0.5632432432432433,0.1089199107409229,0.45583035848041265,3,3,0
vicuna-13b,741,0.39946018893387314,-0.0797175331129813,0.47893111267421395,4,4,0
alpaca-13b,696,0.25,-0.16695835145782054,0.4358566703395218,5,5,0
llama-13b,730,0.136986301369863,-0.33198944578665585,0.3680724234910454,6,6,0
