model,total_games,raw_win_rate,neutralized_score,residual_std,rank_raw,rank_neutralized,rank_change
claude-v1,726,0.4834710743801653,0.16225077783537137,0.33176292940442614,1,1,0
gpt-4,724,0.46685082872928174,0.13834166400035128,0.33264789080649704,2,2,0
gpt-3.5-turbo,925,0.412972972972973,0.10119437743036103,0.3603755631956853,3,3,0
vicuna-13b,741,0.39946018893387314,0.058936660327610815,0.3756294008861597,4,4,0
alpaca-13b,696,0.14511494252873564,-0.15108086912828622,0.36294345116673504,5,5,0
llama-13b,730,0.08356164383561644,-0.3425726150099867,0.3313069125854754,6,6,0
