analysis_version,created_at,dataset_version_id,experiment_id,experiment_name,manifest_id,metadata,mitigation_strategy,research_question,research_question_title,status
phase4-analysis-v1,2026-08-18T20:32:01.171510+01:00,2f8c7bba-08b1-4d8b-8b0e-b564e8a61886,3b8ef1ab-f149-4458-9580-02c41fdea781,controlled-final-plan-v1-RQ3-b2fff1524b19,816ba9b6-1dd4-40ac-abed-15e3e4dd896a,"{""canonicalization_policy"": ""unordered-pair-consensus-v1"", ""evidence_class"": ""PLANNED"", ""prompt_hash"": ""e1d041bd6a1ec4f27efe6a3377d98ec0321af02b59ee9abedf64bf349ac9b299""}",NONE,RQ3,Position Sensitivity / Bias,PLANNED
phase4-analysis-v1,2026-08-18T20:32:01.171510+01:00,2f8c7bba-08b1-4d8b-8b0e-b564e8a61886,3f6294f6-cf5e-4c27-8c21-f162b93c594d,controlled-final-plan-v1-RQ2-b2fff1524b19,0581763f-1fff-4092-a2f2-c60170eb8dbf,"{""canonicalization_policy"": ""unordered-pair-consensus-v1"", ""evidence_class"": ""PLANNED"", ""prompt_hash"": ""e1d041bd6a1ec4f27efe6a3377d98ec0321af02b59ee9abedf64bf349ac9b299""}",NONE,RQ2,Stochastic Consistency,PLANNED
phase4-analysis-v1,2026-08-18T20:32:01.171510+01:00,2f8c7bba-08b1-4d8b-8b0e-b564e8a61886,4d65d88e-3e9f-4e0c-9460-b2a10f57c3ca,controlled-final-plan-v1-RQ1-b2fff1524b19,550e0ec5-e531-45fa-a1ea-422cc9710001,"{""canonicalization_policy"": ""unordered-pair-consensus-v1"", ""evidence_class"": ""PLANNED"", ""prompt_hash"": ""e1d041bd6a1ec4f27efe6a3377d98ec0321af02b59ee9abedf64bf349ac9b299""}",NONE,RQ1,Human Alignment,PLANNED
phase4-analysis-v1,2026-08-18T20:32:01.171510+01:00,2f8c7bba-08b1-4d8b-8b0e-b564e8a61886,a3484b84-870d-4f01-85ad-df7d160c7efd,controlled-final-plan-v1-RQ6-b2fff1524b19,5491bd7b-2f59-4922-a4c2-ecbe38c57e0a,"{""canonicalization_policy"": ""unordered-pair-consensus-v1"", ""evidence_class"": ""PLANNED"", ""prompt_hash"": ""e1d041bd6a1ec4f27efe6a3377d98ec0321af02b59ee9abedf64bf349ac9b299""}",NONE,RQ6,Matched Source-Family Preference,PLANNED
phase4-analysis-v1,2026-08-18T20:32:01.171510+01:00,2f8c7bba-08b1-4d8b-8b0e-b564e8a61886,d02a90f5-8096-48aa-9297-ee51e93a10ca,controlled-final-plan-v1-RQ4-b2fff1524b19,f63360e4-04c8-4815-86b5-eefeed78cb5b,"{""canonicalization_policy"": ""unordered-pair-consensus-v1"", ""evidence_class"": ""PLANNED"", ""prompt_hash"": ""e1d041bd6a1ec4f27efe6a3377d98ec0321af02b59ee9abedf64bf349ac9b299""}",NONE,RQ4,Controlled Redundant-Length Effect,PLANNED
phase4-analysis-v1,2026-08-18T20:32:01.171510+01:00,2f8c7bba-08b1-4d8b-8b0e-b564e8a61886,eccc037f-d331-47d7-a186-983ae58f3369,controlled-final-plan-v1-RQ7-b2fff1524b19,55e58905-2265-49b3-87b7-1d55daa073ea,"{""canonicalization_policy"": ""unordered-pair-consensus-v1"", ""evidence_class"": ""PLANNED"", ""prompt_hash"": ""e1d041bd6a1ec4f27efe6a3377d98ec0321af02b59ee9abedf64bf349ac9b299""}",DUAL_SWAP,RQ7,BASELINE SINGLE-PASS vs DUAL_SWAP Mitigation,PLANNED
phase4-analysis-v1,2026-08-18T20:32:01.171510+01:00,2f8c7bba-08b1-4d8b-8b0e-b564e8a61886,f7ebd809-6ad4-4ba0-8f19-2f24200ddeed,controlled-final-plan-v1-RQ5-b2fff1524b19,494cf45e-f974-4f92-bc8f-f490d82d0f91,"{""canonicalization_policy"": ""unordered-pair-consensus-v1"", ""evidence_class"": ""PLANNED"", ""prompt_hash"": ""e1d041bd6a1ec4f27efe6a3377d98ec0321af02b59ee9abedf64bf349ac9b299""}",NONE,RQ5,Controlled Presentation-Format Effect,PLANNED
