scope,judge,baseline_agreement,baseline_agreement_ci,baseline_kappa,baseline_kappa_ci,baseline_coverage,dual_swap_agreement,dual_swap_agreement_ci,dual_swap_kappa,dual_swap_kappa_ci,dual_swap_coverage,dual_pass_stability,agreement_delta,kappa_delta,coverage_delta
OVERALL,ALL_JUDGES,0.6065,"[0.5712, 0.6405]",0.3469,"[0.2918, 0.4008]",0.9563,0.6878,"[0.6484, 0.7238]",0.4519,"[0.3858, 0.5130]",0.7288,0.7661,0.0813,0.105,-0.2275
PER_JUDGE,gpt-4o-mini,0.595,"[0.5250, 0.6650]",0.3206,"[0.2068, 0.4279]",1.0,0.6522,"[0.5776, 0.7267]",0.3932,"[0.2676, 0.5147]",0.805,0.805,0.0572,0.0725,-0.195
PER_JUDGE,anthropic/claude-3-haiku,0.4462,"[0.3763, 0.5161]",0.1867,"[0.0922, 0.2830]",0.93,0.6,"[0.5000, 0.7000]",0.341,"[0.1876, 0.4896]",0.5,0.5435,0.1538,0.1543,-0.43
PER_JUDGE,deepseek/deepseek-chat,0.6505,"[0.5806, 0.7204]",0.4062,"[0.2993, 0.5101]",0.93,0.679,"[0.6049, 0.7531]",0.4427,"[0.3266, 0.5553]",0.81,0.8663,0.0285,0.0365,-0.12
PER_JUDGE,meta-llama/llama-3.3-70b-instruct,0.7306,"[0.6684, 0.7927]",0.4858,"[0.3738, 0.5946]",0.965,0.7875,"[0.7250, 0.8500]",0.5738,"[0.4486, 0.6882]",0.8,0.8421,0.0569,0.088,-0.165
